time_s,V_exp,FDM,FVM-S0,FVM-S1,FVM-S2
3248,4.08916091918945,4.09355478499392,4.09355481401585,4.0935537296062,4.09355411343201
3249,4.08914375305176,4.09355481314259,4.09355484193009,4.09355376005755,4.09355414298532
3250,4.0890679359436,4.09355484122504,4.09355486977902,4.09355379043766,4.0935541724695
3251,4.08929061889648,4.09355486924144,4.0935548975628,4.09355382074668,4.09355420188469
3252,4.08922815322876,4.09355489719193,4.09355492528158,4.09355385098478,4.09355423123105
3253,4.0891695022583,4.09355492507668,4.09355495293551,4.09355388115214,4.09355426050876
3254,4.08930683135986,4.09355495289583,4.09355498052474,4.09355391124892,4.09355428971797
3255,4.08925485610962,4.09355498064955,4.09355500804943,4.09355394127528,4.09355431885884
3256,4.08906555175781,4.09355500833798,4.09355503550973,4.09355397123138,4.09355434793154
3257,4.08916521072388,4.09355503596128,4.09355506290578,4.0935540011174,4.09355437693621
3258,4.08914089202881,4.0935550635196,4.09355509023774,4.09355403093349,4.09355440587302
3259,4.08911561965942,4.0935550910131,4.09355511750576,4.09355406067983,4.09355443474214
3260,4.08916187286377,4.09355511844192,4.09355514470999,4.09355409035656,4.09355446354371
3261,4.08920192718506,4.09355514580623,4.09355517185057,4.09355411996387,4.09355449227789
3262,4.08920001983643,4.09355517310617,4.09355519892766,4.0935541495019,4.09355452094485
3263,4.08923292160034,4.0935552003419,4.09355522594141,4.09355417897082,4.09355454954475
3264,4.08919858932495,4.09355522751355,4.09355525289195,4.0935542083708,4.09355457807773
3265,4.08909225463867,4.0935552546213,4.09355527977945,4.09355423770198,4.09355460654395
3266,4.08933925628662,4.09355528166528,4.09355530660405,4.09355426696455,4.09355463494358
3267,4.08913230895996,4.09355530864565,4.09355533336589,4.09355429615865,4.09355466327677
3268,4.08908605575562,4.09355533556256,4.09355536006513,4.09355432528445,4.09355469154366
3269,4.08917331695557,4.09355536241615,4.0935553867019,4.09355435434211,4.09355471974443
3270,4.08916282653809,4.09355538920657,4.09355541327637,4.09355438333178,4.09355474787922
3271,4.08921670913696,4.09355541593398,4.09355543978866,4.09355441225363,4.09355477594818
3272,4.08909940719604,4.09355544259853,4.09355546623893,4.09355444110781,4.09355480395148
3273,4.0891695022583,4.09355546920035,4.09355549262732,4.09355446989448,4.09355483188927
3274,4.08914089202881,4.0935554957396,4.09355551895398,4.09355449861381,4.09355485976169
3275,4.08926105499268,4.09355552221643,4.09355554521906,4.09355452726594,4.0935548875689
